shipment_id,date,departure_datetime,arrival_datetime,route_id,origin,destination,distance_km,route_complexity,driver_id,driver_experience,driver_rating,vehicle_id,customer_id,warehouse_id,cargo_type,weight_kg,freight_cost_usd,planned_hours,actual_hours,delay_hours,is_delayed,departure_hour,day_of_week,day_name,month,year,is_holiday,is_weekend,weather_score,traffic_index,processing_time_mins,on_time
SHP-000029,2022-01-04,2022-01-04 10:48:00,2022-01-05 05:04:19,R001,Johannesburg,Cape Town,1400,3,DRV-067,4,4.7,TRK-025,CUST-0084,WH002,Perishables,4507.9,1216.76,18.27,18.27,0.0,0,10,1,Tuesday,1,2022,0,0,1.15,1.142,18.0,1
SHP-000030,2022-01-04,2022-01-04 23:22:00,2022-01-05 06:05:12,R002,Johannesburg,Durban,560,2,DRV-121,15,3.6,TRK-002,CUST-0192,WH001,Automotive Parts,7585.3,454.79,6.72,6.72,0.0,0,23,1,Tuesday,1,2022,0,0,1.15,0.96,11.4,1
SHP-000031,2022-01-04,2022-01-04 08:30:00,2022-01-05 11:18:36,R001,Johannesburg,Cape Town,1400,3,DRV-064,1,4.9,TRK-013,CUST-0006,WH001,Automotive Parts,28000.0,1328.92,22.16,26.81,4.65,1,8,1,Tuesday,1,2022,0,0,1.15,1.385,15.4,0
SHP-000032,2022-01-04,2022-01-04 07:52:00,2022-01-05 05:25:07,R006,Cape Town,Johannesburg,1400,3,DRV-043,11,3.4,TRK-039,CUST-0156,WH003,FMCG,28000.0,1363.33,21.55,21.55,0.0,0,7,1,Tuesday,1,2022,0,0,1.0,1.347,10.3,1
SHP-000033,2022-01-04,2022-01-04 13:53:00,2022-01-04 18:42:30,R010,Johannesburg,Bloemfontein,400,1,DRV-097,9,4.3,TRK-026,CUST-0184,WH001,Perishables,3046.2,426.68,4.83,4.83,0.0,0,13,1,Tuesday,1,2022,0,0,1.15,0.965,13.8,1
SHP-000034,2022-01-05,2022-01-05 10:32:00,2022-01-05 18:14:50,R002,Johannesburg,Durban,560,2,DRV-011,1,4.5,TRK-023,CUST-0137,WH003,Electronics,895.6,502.22,7.71,7.71,0.0,0,10,2,Wednesday,1,2022,0,0,1.15,1.102,18.2,1
SHP-000035,2022-01-05,2022-01-05 11:46:00,2022-01-05 19:06:09,R007,Durban,Johannesburg,560,2,DRV-093,8,3.0,TRK-041,CUST-0118,WH001,FMCG,14533.9,607.54,7.34,7.34,0.0,0,11,2,Wednesday,1,2022,0,0,1.15,1.048,14.1,1
SHP-000036,2022-01-05,2022-01-05 10:15:00,2022-01-06 00:43:08,R008,Port Elizabeth,Johannesburg,1060,3,DRV-120,13,3.5,TRK-028,CUST-0188,WH002,Automotive Parts,2588.2,895.34,14.47,14.47,0.0,0,10,2,Wednesday,1,2022,0,0,1.0,1.113,8.0,1
SHP-000037,2022-01-05,2022-01-05 08:13:00,2022-01-06 06:12:13,R008,Port Elizabeth,Johannesburg,1060,3,DRV-098,7,4.1,TRK-022,CUST-0008,WH002,Electronics,1862.7,946.01,17.41,21.99,4.58,1,8,2,Wednesday,1,2022,0,0,1.0,1.339,12.0,0
SHP-000038,2022-01-05,2022-01-05 15:31:00,2022-01-06 06:17:04,R005,Johannesburg,Port Elizabeth,1060,3,DRV-003,5,4.5,TRK-034,CUST-0049,WH001,General Freight,14742.4,1002.0,14.77,14.77,0.0,0,15,2,Wednesday,1,2022,0,0,1.15,1.136,15.3,1
SHP-000039,2022-01-05,2022-01-05 15:19:00,2022-01-06 06:19:54,R008,Port Elizabeth,Johannesburg,1060,3,DRV-005,14,3.1,TRK-006,CUST-0076,WH002,Perishables,2602.7,910.37,15.02,15.02,0.0,0,15,2,Wednesday,1,2022,0,0,1.0,1.155,16.1,1
SHP-000040,2022-01-05,2022-01-05 09:14:00,2022-01-06 08:25:52,R009,Bloemfontein,Cape Town,1000,2,DRV-085,18,4.5,TRK-023,CUST-0180,WH002,Electronics,25494.9,956.86,15.95,23.2,7.25,1,9,2,Wednesday,1,2022,0,0,1.15,1.329,14.7,0
SHP-000041,2022-01-05,2022-01-05 15:48:00,2022-01-06 07:44:16,R003,Cape Town,Port Elizabeth,770,2,DRV-050,8,5.0,TRK-014,CUST-0190,WH002,Electronics,2116.5,639.97,10.28,15.94,5.66,1,15,2,Wednesday,1,2022,0,0,1.0,1.142,12.7,0
SHP-000042,2022-01-05,2022-01-05 13:17:00,2022-01-05 21:51:26,R004,Durban,Bloemfontein,620,3,DRV-093,8,3.0,TRK-012,CUST-0078,WH003,General Freight,22662.8,686.6,7.66,8.57,0.91,1,13,2,Wednesday,1,2022,0,0,1.5,0.958,12.8,0
SHP-000043,2022-01-05,2022-01-05 12:28:00,2022-01-06 02:42:06,R008,Port Elizabeth,Johannesburg,1060,3,DRV-027,4,3.8,TRK-056,CUST-0004,WH002,Automotive Parts,500.0,981.76,14.23,14.23,0.0,0,12,2,Wednesday,1,2022,0,0,1.0,1.095,15.4,1
SHP-000044,2022-01-05,2022-01-05 14:03:00,2022-01-05 21:33:14,R002,Johannesburg,Durban,560,2,DRV-017,12,4.2,TRK-026,CUST-0126,WH003,General Freight,3057.6,447.95,7.5,7.5,0.0,0,14,2,Wednesday,1,2022,0,0,1.15,1.072,12.8,1
SHP-000045,2022-01-05,2022-01-05 13:39:00,2022-01-05 21:52:26,R004,Durban,Bloemfontein,620,3,DRV-031,9,4.4,TRK-036,CUST-0196,WH003,Electronics,8463.5,568.8,8.22,8.22,0.0,0,13,2,Wednesday,1,2022,0,0,1.15,1.028,13.3,1
SHP-000046,2022-01-05,2022-01-05 14:47:00,2022-01-05 20:06:12,R010,Johannesburg,Bloemfontein,400,1,DRV-110,5,3.8,TRK-020,CUST-0146,WH001,Automotive Parts,6360.9,348.78,5.32,5.32,0.0,0,14,2,Wednesday,1,2022,0,0,1.15,1.064,5.9,1
SHP-000047,2022-01-05,2022-01-05 08:26:00,2022-01-05 22:06:22,R002,Johannesburg,Durban,560,2,DRV-041,7,4.8,TRK-016,CUST-0045,WH001,Automotive Parts,6694.6,480.81,9.72,13.67,3.95,1,8,2,Wednesday,1,2022,0,0,1.15,1.389,13.7,0
SHP-000048,2022-01-05,2022-01-05 16:40:00,2022-01-06 21:48:34,R005,Johannesburg,Port Elizabeth,1060,3,DRV-117,16,4.0,TRK-005,CUST-0176,WH002,Perishables,4806.6,882.64,18.47,29.14,10.67,1,16,2,Wednesday,1,2022,0,0,1.15,1.421,7.3,0
SHP-000049,2022-01-05,2022-01-05 06:10:00,2022-01-05 15:40:43,R004,Durban,Bloemfontein,620,3,DRV-039,2,4.6,TRK-059,CUST-0069,WH001,Textiles,1356.9,619.25,9.51,9.51,0.0,0,6,2,Wednesday,1,2022,0,0,1.15,1.189,10.0,1
SHP-000050,2022-01-05,2022-01-05 11:17:00,2022-01-06 00:41:07,R008,Port Elizabeth,Johannesburg,1060,3,DRV-032,3,4.2,TRK-030,CUST-0177,WH003,Hazardous,5283.1,872.83,13.31,13.4,0.09,1,11,2,Wednesday,1,2022,0,0,1.0,1.024,23.9,0
SHP-000051,2022-01-06,2022-01-06 17:36:00,2022-01-07 14:26:52,R006,Cape Town,Johannesburg,1400,3,DRV-065,9,4.9,TRK-002,CUST-0024,WH003,Perishables,3901.7,1274.92,20.85,20.85,0.0,0,17,3,Thursday,1,2022,0,0,1.0,1.303,15.2,1
SHP-000052,2022-01-06,2022-01-06 12:28:00,2022-01-06 17:21:06,R010,Johannesburg,Bloemfontein,400,1,DRV-011,1,4.5,TRK-049,CUST-0194,WH002,Perishables,4714.3,399.36,4.88,4.88,0.0,0,12,3,Thursday,1,2022,0,0,1.15,0.977,9.3,1
SHP-000053,2022-01-06,2022-01-06 10:06:00,2022-01-07 01:02:13,R008,Port Elizabeth,Johannesburg,1060,3,DRV-024,3,3.1,TRK-031,CUST-0090,WH002,Electronics,19368.2,952.34,14.94,14.94,0.0,0,10,3,Thursday,1,2022,0,0,1.0,1.149,17.0,1
SHP-000054,2022-01-06,2022-01-06 10:49:00,2022-01-06 19:03:20,R007,Durban,Johannesburg,560,2,DRV-010,15,4.2,TRK-030,CUST-0023,WH002,Hazardous,12698.5,562.74,8.24,8.24,0.0,0,10,3,Thursday,1,2022,0,0,1.15,1.177,10.4,1
SHP-000055,2022-01-06,2022-01-06 10:48:00,2022-01-07 01:56:31,R009,Bloemfontein,Cape Town,1000,2,DRV-119,6,3.8,TRK-027,CUST-0014,WH003,Perishables,26535.7,919.67,13.99,15.14,1.15,1,10,3,Thursday,1,2022,0,0,1.15,1.166,19.6,0
SHP-000056,2022-01-06,2022-01-06 03:40:00,2022-01-06 14:27:38,R003,Cape Town,Port Elizabeth,770,2,DRV-074,1,3.2,TRK-029,CUST-0179,WH001,Electronics,1497.2,691.62,8.87,10.79,1.92,1,3,3,Thursday,1,2022,0,0,1.0,0.986,11.7,0
SHP-000057,2022-01-06,2022-01-06 12:07:00,2022-01-06 23:47:33,R009,Bloemfontein,Cape Town,1000,2,DRV-105,2,4.3,TRK-006,CUST-0058,WH001,Textiles,5539.1,860.4,11.68,11.68,0.0,0,12,3,Thursday,1,2022,0,0,1.15,0.973,12.0,1
SHP-000058,2022-01-06,2022-01-06 12:09:00,2022-01-07 02:17:38,R005,Johannesburg,Port Elizabeth,1060,3,DRV-107,11,4.6,TRK-054,CUST-0124,WH001,Electronics,764.5,985.19,14.14,14.14,0.0,0,12,3,Thursday,1,2022,0,0,1.15,1.088,14.3,1
SHP-000059,2022-01-06,2022-01-06 09:00:00,2022-01-06 18:24:54,R002,Johannesburg,Durban,560,2,DRV-071,6,4.1,TRK-050,CUST-0107,WH003,Hazardous,1373.7,579.96,9.41,9.41,0.0,0,9,3,Thursday,1,2022,0,0,1.15,1.345,15.9,1
SHP-000060,2022-01-06,2022-01-06 10:48:00,2022-01-07 01:59:02,R008,Port Elizabeth,Johannesburg,1060,3,DRV-039,2,4.6,TRK-029,CUST-0138,WH002,Electronics,1630.6,884.19,15.18,15.18,0.0,0,10,3,Thursday,1,2022,0,0,1.0,1.168,20.2,1
SHP-000061,2022-01-06,2022-01-06 10:30:00,2022-01-06 20:16:33,R004,Durban,Bloemfontein,620,3,DRV-099,19,4.2,TRK-015,CUST-0199,WH001,Electronics,1920.0,582.31,9.78,9.78,0.0,0,10,3,Thursday,1,2022,0,0,1.15,1.222,12.7,1
SHP-000062,2022-01-06,2022-01-06 10:06:00,2022-01-06 20:35:38,R003,Cape Town,Port Elizabeth,770,2,DRV-127,11,3.1,TRK-003,CUST-0033,WH003,Automotive Parts,13045.8,712.18,10.49,10.49,0.0,0,10,3,Thursday,1,2022,0,0,1.0,1.166,9.1,1
SHP-000063,2022-01-06,2022-01-06 12:16:00,2022-01-06 21:45:09,R003,Cape Town,Port Elizabeth,770,2,DRV-105,2,4.3,TRK-056,CUST-0168,WH001,Perishables,6457.2,751.64,9.49,9.49,0.0,0,12,3,Thursday,1,2022,0,0,1.0,1.054,19.2,1
SHP-000064,2022-01-06,2022-01-06 18:02:00,2022-01-07 10:03:12,R009,Bloemfontein,Cape Town,1000,2,DRV-098,7,4.1,TRK-021,CUST-0161,WH002,FMCG,714.1,845.25,16.02,16.02,0.0,0,18,3,Thursday,1,2022,0,0,1.15,1.335,14.7,1
SHP-000065,2022-01-07,2022-01-07 18:28:00,2022-01-08 04:54:06,R002,Johannesburg,Durban,560,2,DRV-112,3,3.9,TRK-007,CUST-0195,WH003,FMCG,873.0,477.28,10.12,10.44,0.32,1,18,4,Friday,1,2022,0,0,1.15,1.445,18.8,0
SHP-000066,2022-01-07,2022-01-07 09:26:00,2022-01-08 11:08:14,R001,Johannesburg,Cape Town,1400,3,DRV-076,10,3.5,TRK-023,CUST-0096,WH001,Electronics,9194.2,1179.43,24.3,25.7,1.4,1,9,4,Friday,1,2022,0,0,1.15,1.519,15.2,0
SHP-000067,2022-01-07,2022-01-07 12:16:00,2022-01-07 20:19:00,R007,Durban,Johannesburg,560,2,DRV-062,11,3.2,TRK-032,CUST-0150,WH001,Perishables,6638.2,515.7,8.05,8.05,0.0,0,12,4,Friday,1,2022,0,0,1.15,1.15,15.4,1
SHP-000068,2022-01-07,2022-01-07 09:27:00,2022-01-08 07:53:13,R005,Johannesburg,Port Elizabeth,1060,3,DRV-041,7,4.8,TRK-005,CUST-0114,WH003,Hazardous,6448.1,1020.25,19.1,22.44,3.34,1,9,4,Friday,1,2022,0,0,1.15,1.469,17.4,0
SHP-000069,2022-01-07,2022-01-07 13:44:00,2022-01-08 05:17:39,R008,Port Elizabeth,Johannesburg,1060,3,DRV-028,15,4.3,TRK-016,CUST-0098,WH002,Automotive Parts,6062.0,910.36,15.56,15.56,0.0,0,13,4,Friday,1,2022,0,0,1.0,1.197,9.1,1
SHP-000070,2022-01-07,2022-01-07 17:57:00,2022-01-08 01:33:00,R010,Johannesburg,Bloemfontein,400,1,DRV-013,11,3.6,TRK-059,CUST-0156,WH002,FMCG,17313.1,394.79,7.6,7.6,0.0,0,17,4,Friday,1,2022,0,0,1.15,1.52,19.3,1
SHP-000071,2022-01-07,2022-01-07 14:08:00,2022-01-07 23:37:16,R004,Durban,Bloemfontein,620,3,DRV-065,9,4.9,TRK-044,CUST-0194,WH003,FMCG,11865.6,558.94,9.49,9.49,0.0,0,14,4,Friday,1,2022,0,0,1.15,1.186,10.2,1
SHP-000072,2022-01-07,2022-01-07 07:18:00,2022-01-08 03:11:09,R008,Port Elizabeth,Johannesburg,1060,3,DRV-009,18,3.8,TRK-038,CUST-0094,WH001,FMCG,19738.3,1028.19,19.01,19.89,0.88,1,7,4,Friday,1,2022,0,0,1.0,1.462,10.7,0
SHP-000073,2022-01-07,2022-01-07 09:52:00,2022-01-08 13:59:48,R006,Cape Town,Johannesburg,1400,3,DRV-129,17,3.3,TRK-059,CUST-0070,WH001,Textiles,8179.5,1295.1,24.72,28.13,3.41,1,9,4,Friday,1,2022,0,0,1.0,1.545,17.8,0
SHP-000074,2022-01-07,2022-01-07 17:46:00,2022-01-08 03:59:12,R002,Johannesburg,Durban,560,2,DRV-120,13,3.5,TRK-005,CUST-0037,WH001,Textiles,1735.1,514.8,10.22,10.22,0.0,0,17,4,Friday,1,2022,0,0,1.15,1.46,14.6,1
SHP-000075,2022-01-07,2022-01-07 12:43:00,2022-01-07 20:20:22,R002,Johannesburg,Durban,560,2,DRV-102,4,4.3,TRK-001,CUST-0068,WH001,Automotive Parts,949.7,524.63,7.62,7.62,0.0,0,12,4,Friday,1,2022,0,0,1.15,1.089,10.9,1
SHP-000076,2022-01-08,2022-01-08 10:39:00,2022-01-08 17:21:46,R002,Johannesburg,Durban,560,2,DRV-060,4,4.4,TRK-031,CUST-0007,WH003,Automotive Parts,14106.7,604.73,6.71,6.71,0.0,0,10,5,Saturday,1,2022,0,1,1.15,0.959,13.0,1
SHP-000077,2022-01-08,2022-01-08 09:31:00,2022-01-08 22:19:18,R005,Johannesburg,Port Elizabeth,1060,3,DRV-105,2,4.3,TRK-008,CUST-0036,WH001,General Freight,20978.6,972.23,12.8,12.8,0.0,0,9,5,Saturday,1,2022,0,1,1.15,0.985,16.2,1
SHP-000078,2022-01-08,2022-01-08 18:41:00,2022-01-09 11:03:04,R006,Cape Town,Johannesburg,1400,3,DRV-108,4,3.5,TRK-038,CUST-0191,WH001,FMCG,28000.0,1366.73,16.37,16.37,0.0,0,18,5,Saturday,1,2022,0,1,1.0,1.023,14.4,1
SHP-000079,2022-01-08,2022-01-08 17:06:00,2022-01-09 09:10:48,R001,Johannesburg,Cape Town,1400,3,DRV-095,2,4.7,TRK-014,CUST-0114,WH001,Electronics,909.0,1239.45,16.08,16.08,0.0,0,17,5,Saturday,1,2022,0,1,1.15,1.005,13.9,1
SHP-000080,2022-01-08,2022-01-08 07:13:00,2022-01-09 03:03:24,R001,Johannesburg,Cape Town,1400,3,DRV-102,4,4.3,TRK-018,CUST-0049,WH002,General Freight,1359.6,1262.1,16.64,19.84,3.2,1,7,5,Saturday,1,2022,0,1,1.15,1.04,15.9,0
SHP-000081,2022-01-08,2022-01-08 17:35:00,2022-01-09 01:26:21,R004,Durban,Bloemfontein,620,3,DRV-033,6,4.1,TRK-051,CUST-0145,WH001,Perishables,3758.8,537.56,7.86,7.86,0.0,0,17,5,Saturday,1,2022,0,1,1.15,0.982,16.9,1
SHP-000082,2022-01-08,2022-01-08 09:11:00,2022-01-08 18:56:36,R003,Cape Town,Port Elizabeth,770,2,DRV-001,4,3.1,TRK-018,CUST-0038,WH003,Perishables,4234.6,670.94,9.72,9.76,0.04,1,9,5,Saturday,1,2022,0,1,1.0,1.08,17.0,0
SHP-000083,2022-01-08,2022-01-08 07:26:00,2022-01-08 15:55:45,R004,Durban,Bloemfontein,620,3,DRV-083,17,4.7,TRK-002,CUST-0045,WH001,Hazardous,2855.6,602.27,8.5,8.5,0.0,0,7,5,Saturday,1,2022,0,1,1.15,1.062,17.1,1
SHP-000084,2022-01-08,2022-01-08 05:50:00,2022-01-08 18:25:16,R009,Bloemfontein,Cape Town,1000,2,DRV-028,15,4.3,TRK-029,CUST-0129,WH003,Perishables,17234.8,948.21,12.59,12.59,0.0,0,5,5,Saturday,1,2022,0,1,1.15,1.049,12.6,1
SHP-000085,2022-01-08,2022-01-08 07:45:00,2022-01-09 00:04:33,R001,Johannesburg,Cape Town,1400,3,DRV-016,13,3.2,TRK-031,CUST-0103,WH003,Electronics,6354.5,1250.31,15.38,16.33,0.95,1,7,5,Saturday,1,2022,0,1,1.15,0.961,9.0,0
SHP-000086,2022-01-08,2022-01-08 13:20:00,2022-01-08 20:36:48,R002,Johannesburg,Durban,560,2,DRV-033,6,4.1,TRK-018,CUST-0160,WH003,FMCG,6050.0,519.98,7.28,7.28,0.0,0,13,5,Saturday,1,2022,0,1,1.15,1.04,15.5,1
SHP-000087,2022-01-08,2022-01-08 14:49:00,2022-01-08 22:22:36,R007,Durban,Johannesburg,560,2,DRV-026,3,4.7,TRK-051,CUST-0180,WH003,General Freight,1701.7,564.32,7.56,7.56,0.0,0,14,5,Saturday,1,2022,0,1,1.15,1.08,14.6,1
SHP-000088,2022-01-08,2022-01-08 15:20:00,2022-01-08 22:41:00,R007,Durban,Johannesburg,560,2,DRV-087,13,5.0,TRK-053,CUST-0117,WH002,Electronics,5270.3,464.71,7.35,7.35,0.0,0,15,5,Saturday,1,2022,0,1,1.15,1.05,9.4,1
SHP-000089,2022-01-09,2022-01-09 07:47:00,2022-01-10 01:38:36,R008,Port Elizabeth,Johannesburg,1060,3,DRV-018,2,4.5,TRK-006,CUST-0022,WH002,General Freight,14001.7,1036.5,12.61,17.86,5.25,1,7,6,Sunday,1,2022,0,1,1.0,0.97,18.3,0
SHP-000090,2022-01-09,2022-01-09 18:48:00,2022-01-10 10:52:26,R009,Bloemfontein,Cape Town,1000,2,DRV-085,18,4.5,TRK-043,CUST-0032,WH002,Electronics,940.9,845.97,13.04,16.07,3.03,1,18,6,Sunday,1,2022,0,1,1.15,1.087,10.2,0
